Pressure,MIL-160,MIL120-Str1,MIL120-Str2,MIL127-OMS,MIL127-Hyd,MIL59-OMS,MIL59-Hyd,CALF20,CALF20-bdc,CALF20-cub,CALF20-fum,CALF20-squ,CALF20-ttdc,CAU10,CAU10-CH3,CAU10-OH,CAU10-NH2,CAU10-OCH3,CAU11,CAU59,MIL53-CF3,MIL53-F4,MIL68-bdc,MIL68-mes,MIL91,MIL120-naph,MIL140A,MIL140B,MIL53-muc,MIP211,MIP203-F,MIP203-M,MIP203-S,MIP214,Fe-mdip,Zr-DHBQ
9,3.94779,2.29913,2.75892,5.38924,4.5971,2.08062,1.3213,2.44449,3.21751,4.05558,2.57603,2.21169,3.13087,4.23258,3.26017,3.00169,1.70919,1.02038,2.22462,1.73767,3.08818,1.8964,4.67697,3.96662,1.9517,2.60064,1.63389,2.47853,4.90626,4.36782,2.23655,2.01567,1.97339,2.97383,4.60132,2.1064
10,4.08395,2.35198,2.80754,5.63441,4.78407,2.16357,1.35655,2.48715,3.33587,4.08543,2.70134,2.26345,3.21907,4.30893,3.3696,3.09403,1.74584,1.02246,2.24875,1.74316,3.22196,1.93639,4.93653,4.15357,2.0032,2.69021,1.78951,2.5217,5.26966,4.72558,2.28474,2.03848,2.05139,3.12874,4.83885,2.12897
12,4.2987,2.43872,2.88327,6.03599,5.09624,2.27534,1.42571,2.53546,3.52292,4.13749,2.90743,2.37393,3.36563,4.45433,3.46206,3.23496,1.81278,1.02827,2.27688,1.7726,3.41792,2.0116,5.41073,4.47287,2.08305,2.83859,1.97922,2.59141,5.92883,5.4036,2.36528,2.08585,2.15816,3.43261,5.23732,2.157
15,4.57564,2.54844,2.97904,6.51566,5.46285,2.42312,1.50542,2.5844,3.71417,4.1755,3.18125,2.49459,3.54282,4.58815,3.64597,3.442,1.88703,1.03156,2.32379,1.80463,3.68372,2.09189,6.02203,4.87828,2.18561,3.03232,2.25287,2.65911,6.73955,6.27935,2.44797,2.12687,2.29484,3.85056,5.69151,2.20118
20,4.83734,2.6775,3.0764,7.12417,5.94979,2.62242,1.61985,2.63397,3.93006,4.22663,3.5019,2.64414,3.72482,4.75553,3.8012,3.62871,1.99265,1.03633,2.37283,1.84558,4.035,2.19347,6.79857,5.35284,2.30871,3.25157,2.53665,2.74232,7.79801,7.44255,2.55913,2.19058,2.42959,4.40577,6.28108,2.23775
25,5.04419,2.76748,3.14786,7.60891,6.27283,2.76822,1.70386,2.67287,4.04692,4.25508,3.72776,2.76106,3.86314,4.87099,3.91815,3.76012,2.05409,1.03892,2.40903,1.86317,4.31268,2.26778,7.42097,5.72128,2.4247,3.45049,2.7386,2.79553,8.55884,8.28828,2.63387,2.22928,2.51533,4.86042,6.73568,2.27507
30,5.17503,2.83141,3.20082,7.94532,6.54708,2.88974,1.77987,2.69702,4.14548,4.2696,3.91072,2.84671,3.95391,4.95366,3.99743,3.86071,2.12324,1.04101,2.45212,1.87795,4.52274,2.31098,7.95406,5.97927,2.49362,3.58697,2.89975,2.83648,9.14894,8.95246,2.6872,2.26579,2.60069,5.24629,7.04557,2.3048
35,5.28718,2.89015,3.24085,8.25924,6.78738,3.03162,1.83688,2.70958,4.2233,4.28565,4.04127,2.92297,4.03067,5.05041,4.06113,3.92645,2.17483,1.04284,2.47422,1.89838,4.69181,2.35004,8.35415,6.18342,2.55834,3.70037,2.98677,2.87607,9.62431,9.52476,2.73208,2.29198,2.64514,5.60205,7.313,2.32333
40,5.37879,2.94871,3.28672,8.49302,6.95333,3.11188,1.88767,2.72399,4.26857,4.29815,4.16389,3.0003,4.10532,5.09259,4.11477,3.97529,2.21803,1.0435,2.485,1.91054,4.83013,2.38858,8.69145,6.38085,2.61619,3.81322,3.07753,2.89055,10.00435,9.92418,2.77359,2.32383,2.69524,5.90794,7.52407,2.34451


